text,label
"Nadgett, Elijah Pogram and Tom Pinch appear in which Dickens novel?",general
A Mobius strip (or band) has how many sides?,general
Who is the author of the novel 'Girl with a Pearl Earring'?,general
Pyrus communis is the Latin name of which fruit?,general
"""Which French author wrote """"The Black Tulip""""?""",general
Which tennis player was stabbed hi the back in Hamburg in 1993?,general
Who won the Man Booker Prize in 2011 for his book 'The Sense of an Ending'?,general
'The Sun is God' are reputedly the famous last words of which British artist?,general
"In which American state are the cities of Dayton, Akron and Cincinnati?",general
Name the theatre in Scarborough associated with Alan Ayckborn.,general
"In the Bible, who had sons called Ham, Shem and Japheth?",general
"Who was the first Governor-General of Pakistan from August 1947 to his death in September 1948, he is known as the 'Father of the Nation'?",general
What number lies between 19 and 17 at the bottom of a dartboard?,general
"""Who played Cat Woman in the 1997 film """"Batman Returns""""?""",general
What was the real name of 'The Birdman of Alcatraz'?,general
"""Which US actor, who appeared in the film """"The 40 year old Virgin"""", also played the lead role in the US version of """"The Office""""?""",general
"Formed in 2001, Myleene Klass, Kym Marsh and Suzanne Shaw were members of which pop group?",general
In which European City is the Mariinsky Ballet based?,general
Which 2004 Tom Hanks film centres around a stranded traveler from Krakozhia?,general
What was the name of Ghana prior to independence?,general
"In Arthurian legend, who was Sir Galahad's father?",general
"Who is the former Chief Constable of Merseyside, now Commissioner of the Metropolitan Police?",general
Klaus Voorman created the cover of which 1966 Beatles album?,general
In which city did the final of the 2010/11 UEFA Champions League take place?,general
Which Pope launched the first Crusade in 1095?,general
The 2011 Open in golf was played at which English course?,general
Which pop group of the 60's and 70's released albums entitled `Days of Future Passed' and 'A Question of Balance'?,general
"In 1993, Barbara Harmer became the first woman to pilot what?",general
"Which island is made up of three counties, Cornwall, Middlesex and Surrey?",general
"According to Greek mythology, what was the name of the three headed dog which guarded the entrance to the underworld?",general
Which group of Lakeland peaks includes Pavey Ark and Harrison Stickle?,general
"Who is the former Chief Constable of Merseyside, now Commissioner of the Metropolitan Police?",general
What is the capital of the German region of Saxony?,general
Which Celtic quarter day falls on the 1st of May?,general
On which river does Philadelphia lie?,general
Klaus Voorman created the cover of which 1966 Beatles album?,general
"""In the television sitcom """"Hi-de-Hi"""", which actor played Ted Bovis?""",general
In which Irish county would you find the Cliffs of Moher?,general
What movie star was nominated for acting awards for playing Anna Christie in 1930 and Anna Karenina in 1935?,general
Which small European country's flag is divided horizontally blue over red with a yellow crown in the top left corner?,general
Which English king was killed by Walter Tyrell?,general
Which was the second Liverpool group to have their first three singles reach number one in the charts?,general
Which landlocked country in Africa was formerly called Nyasaland?,general
"Who, between 1859-1885, composed the four Mephisto Waltzes?",general
What was the nationality of the team that first conquered K2 in 1954?,general
Which group of Lakeland peaks includes Pavey Ark and Harrison Stickle?,general
At which battle of 1471 was Richard Neville aka Warwick the Kingmaker killed?,general
Which composer won an Oscar for the music score in the film 'Bridge on the River Kwai'?,general
In which former Russian state is Chernobyl located?,general
In 1983 Sarah Jane Hutt was the last UK winner of which title?,general
Who was the husband of Helen of Troy (or Sparta)?,general
"What is the nickname of Chopin's short piano piece 'Waltz in D flat, Op.64, No.1'?",general
In France this sport is known as Parkour by what name is it better known in Britain?,general
In what year was the pound coin introduced?,general
What is the common name for a Cydia moth larva inside a seed of the Sebastiana shrub?,general
Of what is the brand name Spam a contraction?,general
"Johnston McCulley created which character in 1919? The character became famous in comics, books, film and on TV.",general
"""In """"The Simpson"""", what is the name of Bart's school principal?""",general
"In French it is Mont Cervin, how is known in English?",general
What cut of beef is found between the rump and the fore rib?,general
"In 1993, Barbara Harmer became the first woman to pilot what?",general
"""Which Spanish City was known by the Romans as """"Hispalis""""?""",general
"""Mendelssohn's """"Wedding March"""" was composed as incidental music to which Shakespeare play?""",general
Which actress of the early screen days was known as 'America's Sweetheart?,general
Who painted the self portrait; 'Arrangement in Gray: Portrait of a Painter'?,general
Heather Small was lead singer with which successful Manchester band?,general
"In Greek mythology, what was the name of the winged horse which sprang from the dead body of Medusa?",general
Which singer was played by Diana Ross in the 1972 film 'Lady Sings The Blues'?,general
How many squares are there on a standard Scrabble board?,general
"Who is the former Chief Constable of Merseyside, now Commissioner of the Metropolitan Police?",general
What name is given to a golden horse with a white mane and tail?,general
Which Italian composed the 1832 opera 'The Elixir of Love' (L'elisir d'amore')?,general
Which title is held by Princess Margaret's son David Armstrong Jones?,general
Which footballer has played and scored in every season in the Premiership?,general
In which constellation is the Great Nebula?,general
"Three of the stations on an English monopoly board are King's Cross, Marylebone and Liverpool Street what is the fourth?",general
Which car company manufacturers the Juke model?,general
Who played Fu Manchu in the 1960s films based on the books by Sax Rohmer?,general
Which car manufacturer makes the MPV model the Roomster?,general
Which French wine region produces Pouilly-Fume?,general
"Jerry Baldwin, Gordon Bowker and Zev Siegel founded which refreshment company in 1971?",general
Which castle guards the main route through Purbeck Hills?,general
Which WW2 aircraft was known as 'The Stringbag'?,general
What is the desert that occupies the southern part of Israel?,general
Nouakchott is the capital of which African country?,general
"Treaty of Rome signed, establishing the EEC.",general
"Which sport was, allegedly, invented by Abner Doubleday in Cooperstown, New York in 1839?",general
"How is the chemical sodium thiosuiphate, used as a fixer in photography, better known?",general
"""Which politician coined the phrase """"A week is a long time in politics""""?""",general
Who won the 2011 Turner Prize for his installation 'Do Words Have Voices'?,general
"""Which pop group was named after a fictional band in the film """"A Clockwork Orange""""?""",general
Which was the only one of his own films that Hitchcock ever remade?,general
"""Which South-East Asian city is known as the """"Lion City""""?""",general
Who was the husband of Helen of Troy (or Sparta)?,general
"After-Eights are now made by Nestle, which company created them in 1962?",general
The Scottish peak Ben More is the highest point on which island?,general
The cha-cha-cha is a dance developed from the mambo in 1950 in which country?,general
"The Ashanti people, and region, are a part of which country?",general
Which spirit is the base for Marguerita cocktail?,general
How are Bob Ferris and Terry Collier known collectively?,general
For which French rugby union club does Jonny Wilkinson play?,general
Plato was the pupil of which famous teacher?,general
Who is the most successful non US golfer in Major Championships with 9 wins?,general
Who bowled Don Bradman for a duck in his last Test Innings?,general
Who was Prime Minister of the UK at the time of the abdication of Edward VIII?,general
Which former Chancellor of the Exchequer wrote 'The Chancellor' about all his predecessors from Randolph Churchill to Hugh Dalton?,general
"Which surname connects a current member of the cabinet, an Open Golf Champion and a former Leeds United striker?",general
"Which man's 'second rebellion' was the Rum Rebellion, which deposed him as Governor of New South Wales in 1808?",general
Which literary heroine was played in a 2011 film by Mia Wasikowska?,general
Which King of England was the son of Henry II and father of Henry III?,general
Which compound has a ring structure and the formula C6H6?,general
"Who, along with Rachel Riley and Susie Dent, will host the 2012 series of Countdown?",general
"In Greek mythology, who is the twin sister of Helenus?",general
How many pods does the London Eye have?,general
What is the capital of the Austrian province of Tyrol?,general
Which compound has a ring structure and the formula C6H6?,general
"""Who wrote the novel """"The Painted Veil""""?""",general
Which vegetable has the Latin name Allium Porrum?,general
Who wrote 'The Allegory of Love' and 'Mere Christianity' in the 20th century?,general
Hg is the chemical symbol for which element?,general
Which cinema legend died on Christmas Day 1977 at the age of 88?,general
"Who played Mo Mowlam in the 2009 television drama, Mo?",general
Who owned the Rolls Razor washing machine company which crashed in 1963?,general
Ditalini and manicotti are examples of which food?,general
Which human rights group appointed Sharmishta (Shami) Chakrabati as director in 2003?,general
"Which BBC nightly news programme was presented by Cliff Michelmore, with Fyfe Robertson and Magnus Magnusson?",general
What is the name of The Vicar of Dibley?,general
Which BBC2 TV programme is based on the Japanese 'Money No Tora' or 'Money Tiger'?,general
In terms of population what is New Zealand's largest city?,general
"""Who, in 1856, painted the picture """"The Blind Girl, now in the Birmingham Museum and Art Gallery?""",general
"""In the TV series 'The Fall and Rise of Reginald Perrin"""" for which company did he originally work?""",general
What was the name of JFK Airport in New York prior to 1963?,general
The character Alexander Orlov advertises which company in TV commercials?,general
Which poet served a sentence in Reading Gaol?,general
The 'Occupy...' movement started in September 2011 and now has camps in more than 80 countries. But which was the first camp?,general
Kenny Dalglish and Herbert Chapman have both won top flight English league championships with two different clubs. Who is the only other man to do this?,general
Historically which Rugby League Super League side were known as 'The Airlie Birds'?,general
Which female singer's surname is Adkins?,general
"What are Duke of Burgundy, White Admiral and Essex Skipper?",general
In which 1953 film does the song 'Secret Love' first appear?,general
'Ranunculus' is the species name of which common wild flower?,general
"""Who wrote the 1972 novel """"Watership Down""""?""",general
Who composed the oratorio Carmina Burana?,general
Lugnaquilla is the highest summit in which Irish mountain range?,general
"In drama, which character says 'parting is such sweet sorrow'?",general
"Which horse, trained by Sir Michael Stoute, won the 2010 Epsom Derby?",general
"Which sugar occurs naturally in honey, fruit and green leaves?",general
Pudong International Airport serves which Far Eastern city?,general
"What is the name of the Chilean mine in Copiapo, Chile, where 33 miners were trapped in 2010?",general
Which fictional detective lived at 56b Whitehaven Mansions?,general
Who in 1711 wrote the line 'A little learning is a dangerous thing'?,general
Which European capital city is on the River Tagus?,general
The A7 road runs from Edinburgh to which English town or city?,general
Which composer (1822-1890) wrote a symphony in D and a symphonic poem called Le Chasseur Maudit (The Accursed Huntsman)?,general
"""Clare Grogan, singer with """"Altered Images"""" first found fame as an actress in which film?""",general
In which state of the USA would you find the cities of Chattanooga and Knoxville?,general
In what year did Yasir Arafat die?,general
Who played Grant Mitchell in 'EastEnders'?,general
What colour coats are worn in Pontin's holiday camps?,general
"""Who portrayed Johnny Cash in the 2005 film """"Walk the Line""""?""",general
"""At which Washington monument, in August 1963, did Martin Luther King deliver his historic """"I have a dream"""" speech?""",general
"Whose 2010 album, gospel music, is called Praise and Blame?",general
Which US multinational chain is named after a character in Moby Dick?,general
Who was the first national hunt jockey to ride 1000 winners?,general
Fuggles and goldings are varieties of which edible plant?,general
Which French wine region produces Pouilly-Fuisse?,general
The Six-Day War took place in which year?,general
'I Could be so Good For You' was the theme song to which TV programme?,general
Hannibal Hamlin and Andrew Johnson were Vice Presidents of which President of the USA?,general
Who is the Italian born architect of The Shard in London?,general
"Running for 46 miles, which line of the London Underground has the longest track?",general
"""Which comedian's catchphrase was """"Can you hear me, Mother?""""?""",general
In which Asian country is Tagalog spoken?,general
Which American state's flag contains an image of a bison?,general
"In July 1946, which hotel in Jerusalem was bombed by Jewish terrorists because it was the HQ of the British administration?",general
Which city is near the Hawkesbury river and is served by Kingsford-Smith airport?,general
What is the county town of County Mayo?,general
Which car manufacturer makes the MPV model the Roomster?,general
The Bible Student Movement founded by Charles Taze Russell in 1872 is now known by which name?,general
"""Who, in about 1759, painted the picture """"The Shrimp Girl"""", now in the National Gallery, London?""",general
Which TV comedy series was set on Craggy Island?,general
Which word for a non-Christian or heathen is derived from the Latin for peasant or rustic?,general
"""Who, in 1776, wrote """"The Wealth of Nations""""?""",general
"Which American Indian Lakota chief is the subject of a monument, begun in 1948, in the Black Hills of South Dakota?",general
"What is the name of Heston Blumenthal's restaurant in Bray, Berkshire?",general
Stewart Island is the third largest island of which country?,general
Who would wear a hat known as a toque?,general
What is the name of the heroine in Steig Larsson's Millennium Trilogy?,general
Which vegetable has varieties called 'The Student' and 'Tender and True'?,general
'The Necessary Aptitude' is the title of which poet/celebrity's 2011 autobiography?,general
All but three of the moons of Uranus are named after Shakespearean characters; the names of the other three are taken from a poem by whom?,general
Who has written a series of books featuring the character Jack Reacher?,general
Which cleric won the 1984 Nobel Prize for Peace?,general
Which Dutch artist painted 'The Seven Deadly Sins and the Four Last Things' in approximately 1500?,general
"Which element, atomic number 18, is named after the Greek for 'lazy' or 'the inactive one'?",general
Stewart Island is the third largest island of which country?,general
Who was the first English king of the House of Lancaster?,general
"Nadgett, Elijah Pogram and Tom Pinch appear in which Dickens novel?",general
"In the celestial hierarchy, what is the highest order of angels?",general
Who wrote 'The Allegory of Love' and 'Mere Christianity' in the 20th century?,general
Which palace in Spain takes its name from the colour of its sun dried red bricks?,general
John McEnroe was married to which film actress?,general
The cartoon character Norville Rogers is better known by what name?,general
What type of food is a Berliner Pfannkuchen?,general
Which South African bullion coin is named after a 19th century President of the South African Republic?,general
What name is given to the untanned skins of sharks and rays?,general
Where does Marsala wine come from?,general
In which year was Nelson Mandela released from prison?,general
What is the English title of the national anthem of Ireland?,general
At which battle of 1403 was Sir Henry Percy aka Hotspur killed?,general
"""Which novelist won the 1970 Nobel Prize for Literature """"for the ethical force with which he has pursued the indispensable traditions of Russian literature""""?""",general
"""Who wrote the book """"The French Lieutenant's Woman"""" in 1969?""",general
What type of rocket was used to launch the Apollo spacecraft?,general
"Margaretha Zelle was shot as a spy in Paris in 1917, how was she better known?",general
How many players in a women's lacrosse team?,general
"In snooker, whose nickname is 'The Nugget'?",general
Leonardo da Vinci's 'The Last Supper' is in a church in which city?,general
Andre Geim and Konstantin Novoselov from Manchester University won which Nobel Prize in 2010?,general
What is the former name of 'Belize'?,general
The oldest extant version of the Bible made by Jerome in the 4th century is known by which name?,general
The character Alexander Orlov advertises which company in TV commercials?,general
A Mobius strip (or band) has how many sides?,general
In which ancient city is the 'Street of Facades' and the 'Treasury'?,general
"Which European country's flag consists of three horizontal bands of white, green, and red?",general
What cut of beef is found between the rump and the fore rib?,general
In which year between the World Wars did Britain go off the Gold Standard?,general
What are the elements with atomic numbers from 57 to 71 in the periodic table called?,general
In which European country is Lake Inari?,general
What has been made at the Black Friars distillery in Devon since 1793 and has EU geographical protected status?,general
Which Celtic quarter day falls on the 1st of May?,general
In which Asian country is Tagalog spoken?,general
"What was the nationality of Adolphus Sachs, the inventor of the Saxophone?",general
"Who, between 1859-1885, composed the four Mephisto Waltzes?",general
"To within 1 year either side, in which year did the half crown cease to be legal tender in the U",general
What is the world's largest nation that is all in a single time zone?,general
"Which South American country's flag consists of three vertical stripes of red, white, and red?",general
"In the world of rock music, how is Paul Hewson better known?",general
How many players of each side are on the field of Australian Rules football?,general
"In August 2012, three members of which Russian feminist punk-rock collective were sentenced to two years in jail for hooliganism?",general
Eight-ball is a popular version of which game?,general
"In the bible what name is given to the following Michael, Raphael, Uriel, Selaphiel, Jegudiel and Barachiel known as?",general
Which organ of the body contains the tricuspid valve?,general
What nationality is the operatic tenor Juan Diego Flores?,general
"Which Italian painter is known for his images of human faces made up of such things as flowers, vegetables and fish?",general
"Musicians Sally and Ben Taylor are the children of James Taylor, and which other singer-songwriter?",general
Fall of the Berlin Wall.,general
What Italian city is called Leghorn in English?,general
The Tempranillo grape most famously makes which wine?,general
If you were born between October 24th and November 218'what star sign would you come under?,general
"The French writer Andre Breton initiated which artistic movement in the 1920s, based on Dadaism?",general
Give the name of the restaurant charity formed by Jamie Oliver to help disadvantaged young people?,general
Who was the first American President to live in the White House?,general
Odense and Aarhus are major cities in which European country?,general
Snow Breweries is the biggest brewing company in which country?,general
"Who is the producer of shows including Les Miserables, Phantom of the Opera, Mary Poppins and Cats?",general
Danny O'Donoghue was a judge on the TV show 'The Voice'; he is the singer with which group?,general
Only 69 men have ever held the top rank at sumo wrestling; by what name is that title known?,general
"The first woman to win an Olympic gold medal was Charlotte Cooper in Paris in 1900, in which sport?",general
"Cara, Estima and Desiree are types of what?",general
Which chemical has the formula SO2?,general
'Ranunculus' is the species name of which common wild flower?,general
In World War II who designed the Mosquito Fighter/Bomber?,general
Who played Michelangelo in the 1965 film 'The Agony and the Ecstasy'?,general
Which character in Coronation Street is played by the actress Katherine Kelly?,general
In which Country is Graham Greene's Novel The Comedians set?,general
Who writes the series of novels about Chief Inspector Alan Banks?,general
"""Who, in about 1759, painted the picture """"The Shrimp Girl"""", now in the National Gallery, London?""",general
The Yas Marina Grand Prix circuit is in which city?,general
Which car company produce a model called the 'Kangoo'?,general
An ARP detachment leader called Thomas Alderson was the first recipient of which award?,general
"""The """"boob tube"""" is an item of clothing in the UK; but to what did the term refer when it was originally coined in the USA?""",general
In the 1985 film which actress was 'Desperately Seeking Susan'?,general
The 1997 play 'Gross Indecency' by Moises Kaufman was about the three trials of which man in the late 19th century?,general
What Italian city is called Leghorn in English?,general
"What other, non-scientific, name is given to the extinct smilodon?",general
John of Gaunt was the uncle of which English King?,general
What is the administrative centre of Cornwall?,general
Which European capital city is on the River Tagus?,general
On which island are the 'Standing Stones of Callanish'?,general
Which team won the first Heineken Cup in 1996?,general
"Which element, atomic number 11, is a soft, silvery-white, highly reactive metal?",general
Which US city is the setting for the TV drama series 'Treme' (pronounced Tremmay)?,general
"Who wrote the poem 'Ash Wednesday', published in 1930?",general
Historically which Rugby League Super League side were known as 'The Airlie Birds'?,general
"""To which genus of plants do """"Sweet William"""" and """"Carnations"""" belong?""",general
On TV Peter Griffin is the father figure in which cartoon series?,general
"The Victoria Cross is the highest military decoration in Britain, what is the highest civilian decoration?",general
Which Scottish king was killed at the Battle of Flodden in 1513?,general
Fanny Brawne was betrothed to which English romantic poet?,general
"Which US city, originally named Fort Duquesne, is now named after a British Prime Minister?",general
"Lucha Libre is a popular form of wrestling, in which country did it originate?",general
Christian Horner is team principal for which F1 racing team?,general
Who is the voice of Po in the Kung Fu Panda films?,general
What horse race might originally have been called the Bunbury Stakes?,general
"In South Africa what is the name given to ships of meat, salted and dried?",general
Who was the first Prime Minister of an independent India in 1947?,general
Cyrenaica is a province of which African country?,general
Where did the first battle of the Wars of the Roses take place?,general
What is the capital of the French department Calvados?,general
Suzy Perry is a presenter on which Channel 5 programme?,general
What was Abba's only Number One single in the USA?,general
Which figures in Greek mythology were also called the Erinyes?,general
What type of rocket was used to launch the Apollo spacecraft?,general
In Norse mythology what was Bifrost?,general
Which country did England fight against in the Hundred Years' War?,general
Which architect invented the Geodesic Dome?,general
Which was the first London Underground railway line?,general
Lucie Manette is the heroine of which Dickens Novel?,general
Eboracum is the Roman name for which city?,general
"How is the mathematical series 1, 1, 2, 3, 5, 8 etc better known?",general
Which BBC journalist has been revealed as the secret son of the late Peter Woods?,general
In 1983 Sarah Jane Hutt was the last UK winner of which title?,general
In which London borough is the Oval Cricket Ground?,general
Who shot PM Spencer Perceval?,general
"According to Virgil, who was the reputed founder of the city of Carthage?",general
Steve Brookstein won the first series of which TV show in 2004?,general
Which group had a 1981 hit with 'Tainted Love'?,general
Which Scottish port lies on Loch Ryan?,general
Which country did England fight against in the Hundred Years' War?,general
Maudie Littlehampton appeared in whose pocket cartoons in the Daily Express?,general
"Which element, atomic number 11, is a soft, silvery-white, highly reactive metal?",general
Which English football club play home games at Roots Hall?,general
Frances Gumm was the real name of which famous actress?,general
'Sitting on a comflake waiting for the van to come' is a line from which Beatles song from 'Magical Mystery Tour' album?,general
What was Abba's last Number One single in the UK?,general
"Who played Mo Mowlam in the 2009 television drama, Mo?",general
In which sea is the Great Barrier Reef?,general
In which country is Verdi's opera 'Aida' set?,general
John McEnroe was married to which film actress?,general
Who won the 2011 Turner Prize for his installation 'Do Words Have Voices'?,general
"""Which artistic style is described as """"The exploration of colour and technique to capture the transience of light""""?""",general
Who is the author of the novel 'Girl with a Pearl Earring'?,general
A Roman Legion consisted of six units known as what?,general
"In the Lake District National Park, as what are Pavey Ark, Harrison Stickle and Pike of Stickle collectively known?",general
Who won the 2010 Open Golf Championship at St. Andrews?,general
Which country's team won the 2011 Women's Football World Cup?,general
"Duncan Zowie Jones, director of sci-fi films 'Moon' and 'Source Code', is the son of which musician?",general
On which horse did Lester Piggott ride his last Derby winner in 1984?,general
In which country would you find Chobe National Wildlife Park?,general
"Where, in Wales, is Beaumaris Castle?",general
In which year did men first walk on the moon?,general
Which 'major-winning' golfer has the real first names Gerry Lester?,general
Which WW2 aircraft was known as 'The Stringbag'?,general
Who is the patron saint of tax collectors?,general
"In the 2010 film, Eat, Pray, Love who plays the part of the book's author?",general
In which constellation is the Great Nebula?,general
Which US author wrote a series of novels about the Camel Club?,general
"What other, non-scientific, name is given to the extinct smilodon?",general
"In the Bible, who was the servant of Sarah who became the concubine of Abraham and mother of Ishmael?",general
The vibrations of which element formed the basis of the first atomic clock?,general
Which English football club are nicknamed the Shakers?,general
What was the nickname of the WW2 aircraft - Fairey Swordfish?,general
At which battle of 1471 was Richard Neville aka Warwick the Kingmaker killed?,general
What is the capital of the new country. South Sudan?,general
A Bellini cocktail is made with the sparkling wine prosecco and which fruit juice?,general
In what year did the last Moonwalk take place?,general
What is the national flower of Spain?,general
"Television: in 2011, who returned to present Gardeners World, having previously presented the programme from 2003 to 2008?",general
Which pop group comprised David van Day and Thereza Bazar?,general
Which American authoress wrote the novels 'Ethan Frome' and 'The Age of Innocence'?,general
What honour was conferred on shoe designer Jimmy Choo in 2002?,general
Where did Fiddler's Dram go on a day trip to in 1979?,general
Where in the human body is the trapezium bone?,general
"Which sailing ship, named after the witch in Burns' poem 'Tam O'Shanter', is preserved in dry dock at Greenwich?",general
Give the common name for the plant `Kniphofia'.,general
Who is the paternal grandmother of Prince Charles?,general
Which Member of The SDP failed to win the 1981 Warrington By-Election?,general
"In film, which character says 'tomorrow is another day'?",general
Which Eire county is surrounded on three sides by the Atlantic Ocean and has Lifford as the county town?,general
"In snooker, whose nickname is 'The Nugget'?",general
Semiotics is the study of what?,general
"What is the name of the Crusader castle which is now a Unesco World Heritage site, which lies west of Horns in Syria?",general
Who founded the Theatre Union in 1936 and the Theatre Workshop in 1945 (both in Manchester)?,general
Who hosts the new (Challenge TV) version of the TV quiz show 'Blockbusters'?,general
What type of camera did Edwin Land develop?,general
On TV Peter Griffin is the father figure in which cartoon series?,general
African bush and African forest are species of which animal?,general
What is the name of Tchaikovsky's symphony No. 6 in B minor?,general
Knothead and Splinter are the nephew and niece of which cartoon character?,general
"In Greek mythology, how are Clotho, Lachesis and Atropos better known?",general
"In the early 1970s, Lynne Paul and Eve Graham were the lead singers in which group?",general
Which Celtic quarter day falls on the 1st of May?,general
'I Could be so Good For You' was the theme song to which TV programme?,general
Malachite is an ore of which chemical element?,general
What number lies between 19 and 17 at the bottom of a dartboard?,general
Nouakchott is the capital of which African country?,general
"""Who, in about 1759, painted the picture """"The Shrimp Girl"""", now in the National Gallery, London?""",general
Titan is the largest moon of which planet?,general
Who is chief conductor of the Royal Liverpool Philharmonic Orchestra?,general
Kielder Water is the largest artificial lake in the UK. In which county would you find it?,general
"In November 2011, 'Piccadilly Circus, London', one of the very few paintings of London by which artist, sold at auction for £5.6 million?",general
In Thai cuisine kapi is a paste made up of what?,general
How many players in a women's lacrosse team?,general
The flight of which space shuttle in 2011 successfully concluded Nasa's space shuttle programme?,general
"What is the name of the disc shaped region beyond the orbit of Neptune, discovered in 1992, which contains dwarf planets and small icy bodies?",general
"Which religion has Five Pillars (the Shadahad, Salah, Zakah, Sawma and Hajj)?",general
In which constellation is the Horsehead Nebula?,general
Which writer created the character Sergeant Cuff?,general
Which comedian/entertainer was known as Bighearted Arthur?,general
The Latin 'Dunelm' relates to which Church of England diocese?,general
In pop music how is Vincent Furnier better known?,general
In which BBC radio series did Henry Crun and Minnie Bannister feature?,general
Who wrote 'The Allegory of Love' and 'Mere Christianity' in the 20th century?,general
Saint-Denis is the chief town on which Indian Ocean island?,general
Which 1985 film was nominated for eleven Oscars and did not win any,general
"In which Libyan city, his birthplace, was Colonel Gaddafi captured and killed in October 2011?",general
Which city is served by Carrasco airport and was the last port of call for the German battleship Graf Spee?,general
Who wrote the music for the 1993 film The Piano?,general
Which spirit is the base for Marguerita cocktail?,general
Galah and Sulphur-crested are species of what kind of bird?,general
"Appropriately, which animal appears on the flag of the city of Berlin?",general
